Model,Spacing,Accuracy,Set Size
Multi-Head Attention,0.699999988079071,0.9925000071525574,8
TopK,0.699999988079071,0.9929999709129333,8
Mean,0.699999988079071,0.993399977684021,8
Multi-Head Attention,0.699999988079071,1.0,32
TopK,0.699999988079071,0.9998999834060669,32
Mean,0.699999988079071,1.0,32
Multi-Head Attention,0.699999988079071,1.0,128
TopK,0.699999988079071,1.0,128
Mean,0.699999988079071,1.0,128
Baseline,0.75,0.8274999856948853,1
Multi-Head Attention,0.75,0.9944000244140625,8
TopK,0.75,0.9955000281333923,8
Mean,0.75,0.9968000054359436,8
Multi-Head Attention,0.75,1.0,32
TopK,0.75,1.0,32
Mean,0.75,1.0,32
Multi-Head Attention,0.75,1.0,128
TopK,0.75,1.0,128
Mean,0.75,1.0,128
Baseline,0.800000011920929,0.838699996471405,1
Multi-Head Attention,0.800000011920929,0.9968000054359436,8
TopK,0.800000011920929,0.998199999332428,8
Mean,0.800000011920929,0.9976999759674072,8
Multi-Head Attention,0.800000011920929,1.0,32
TopK,0.800000011920929,1.0,32
Mean,0.800000011920929,1.0,32
Multi-Head Attention,0.800000011920929,1.0,128
TopK,0.800000011920929,1.0,128
Mean,0.800000011920929,1.0,128
Baseline,0.8499999642372131,0.8511999845504761,1
Multi-Head Attention,0.8499999642372131,0.9986000061035156,8
TopK,0.8499999642372131,0.9983000159263611,8
Mean,0.8499999642372131,0.998199999332428,8
Multi-Head Attention,0.8499999642372131,1.0,32
TopK,0.8499999642372131,1.0,32
Mean,0.8499999642372131,1.0,32
Multi-Head Attention,0.8499999642372131,1.0,128
TopK,0.8499999642372131,1.0,128
Mean,0.8499999642372131,1.0,128
Baseline,0.8999999761581421,0.8704000115394592,1
Multi-Head Attention,0.8999999761581421,0.9993000030517578,8
TopK,0.8999999761581421,0.9991999864578247,8
Mean,0.8999999761581421,0.9994000196456909,8
Multi-Head Attention,0.8999999761581421,1.0,32
TopK,0.8999999761581421,1.0,32
Mean,0.8999999761581421,1.0,32
Multi-Head Attention,0.8999999761581421,1.0,128
TopK,0.8999999761581421,1.0,128
Mean,0.8999999761581421,1.0,128
Baseline,0.949999988079071,0.885200023651123,1
Multi-Head Attention,0.949999988079071,0.9987000226974487,8
TopK,0.949999988079071,0.9998999834060669,8
Mean,0.949999988079071,0.9998000264167786,8
Multi-Head Attention,0.949999988079071,1.0,32
TopK,0.949999988079071,1.0,32
Mean,0.949999988079071,1.0,32
Multi-Head Attention,0.949999988079071,1.0,128
TopK,0.949999988079071,1.0,128
Mean,0.949999988079071,1.0,128
Baseline,1.0,0.8952000141143799,1
Multi-Head Attention,1.0,0.9994999766349792,8
TopK,1.0,1.0,8
Mean,1.0,0.9994999766349792,8
Multi-Head Attention,1.0,1.0,32
TopK,1.0,1.0,32
Mean,1.0,1.0,32
Multi-Head Attention,1.0,1.0,128
TopK,1.0,1.0,128
Mean,1.0,1.0,128
Baseline,1.0499999523162842,0.9092000126838684,1
Multi-Head Attention,1.0499999523162842,0.9998000264167786,8
TopK,1.0499999523162842,0.9998000264167786,8
Mean,1.0499999523162842,0.9998999834060669,8
Multi-Head Attention,1.0499999523162842,1.0,32
TopK,1.0499999523162842,1.0,32
Mean,1.0499999523162842,1.0,32
Multi-Head Attention,1.0499999523162842,1.0,128
TopK,1.0499999523162842,1.0,128
Mean,1.0499999523162842,1.0,128
Baseline,1.100000023841858,0.9186999797821045,1
Multi-Head Attention,1.100000023841858,1.0,8
TopK,1.100000023841858,0.9998999834060669,8
Mean,1.100000023841858,1.0,8
Multi-Head Attention,1.100000023841858,1.0,32
TopK,1.100000023841858,1.0,32
Mean,1.100000023841858,1.0,32
Multi-Head Attention,1.100000023841858,1.0,128
TopK,1.100000023841858,1.0,128
Mean,1.100000023841858,1.0,128
Baseline,1.149999976158142,0.9301999807357788,1
Multi-Head Attention,1.149999976158142,1.0,8
TopK,1.149999976158142,1.0,8
Mean,1.149999976158142,1.0,8
Multi-Head Attention,1.149999976158142,1.0,32
TopK,1.149999976158142,1.0,32
Mean,1.149999976158142,1.0,32
Multi-Head Attention,1.149999976158142,1.0,128
TopK,1.149999976158142,1.0,128
Mean,1.149999976158142,1.0,128
Baseline,1.2000000476837158,0.9386000037193298,1
Multi-Head Attention,1.2000000476837158,1.0,8
TopK,1.2000000476837158,1.0,8
Mean,1.2000000476837158,0.9998999834060669,8
Multi-Head Attention,1.2000000476837158,1.0,32
TopK,1.2000000476837158,1.0,32
Mean,1.2000000476837158,1.0,32
Multi-Head Attention,1.2000000476837158,1.0,128
TopK,1.2000000476837158,1.0,128
Mean,1.2000000476837158,1.0,128
Baseline,1.25,0.9437000155448914,1
Multi-Head Attention,1.25,1.0,8
TopK,1.25,0.9998999834060669,8
Mean,1.25,1.0,8
Multi-Head Attention,1.25,1.0,32
TopK,1.25,1.0,32
Mean,1.25,1.0,32
Multi-Head Attention,1.25,1.0,128
TopK,1.25,1.0,128
Mean,1.25,1.0,128
Baseline,1.2999999523162842,0.9495999813079834,1
Multi-Head Attention,1.2999999523162842,1.0,8
TopK,1.2999999523162842,1.0,8
Mean,1.2999999523162842,1.0,8
Multi-Head Attention,1.2999999523162842,1.0,32
TopK,1.2999999523162842,1.0,32
Mean,1.2999999523162842,1.0,32
Multi-Head Attention,1.2999999523162842,1.0,128
TopK,1.2999999523162842,1.0,128
Mean,1.2999999523162842,1.0,128
Baseline,1.350000023841858,0.9538000226020813,1
Multi-Head Attention,1.350000023841858,1.0,8
TopK,1.350000023841858,1.0,8
Mean,1.350000023841858,1.0,8
Multi-Head Attention,1.350000023841858,1.0,32
TopK,1.350000023841858,1.0,32
Mean,1.350000023841858,1.0,32
Multi-Head Attention,1.350000023841858,1.0,128
TopK,1.350000023841858,1.0,128
Mean,1.350000023841858,1.0,128
Baseline,1.399999976158142,0.9617000222206116,1
Multi-Head Attention,1.399999976158142,1.0,8
TopK,1.399999976158142,1.0,8
Mean,1.399999976158142,1.0,8
Multi-Head Attention,1.399999976158142,1.0,32
TopK,1.399999976158142,1.0,32
